ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,YEARS_EMPLOYED,months_on_record,max_dpd,avg_dpd,num_late_payments,TARGET
5008804,0,1,1,0,427500.0,0,3,3,1,1,0,0,18,2,32.9,12.4,16,1,0.0625,1,0
5008805,0,1,1,0,427500.0,0,3,3,1,1,0,0,18,2,32.9,12.4,15,1,0.06666666666666667,1,0
5008806,0,1,1,0,112500.0,0,1,1,4,0,0,0,9,2,58.8,3.1,30,0,0.0,0,0
5008808,1,0,1,0,270000.0,1,1,0,4,0,1,1,2,1,52.3,8.4,5,0,0.0,0,0
5008809,1,0,1,0,270000.0,1,1,0,4,0,1,1,2,1,52.3,8.4,5,0,0.0,0,0
5008810,1,0,1,0,270000.0,1,1,0,4,0,1,1,2,1,52.3,8.4,27,0,0.0,0,0
5008811,1,0,1,0,270000.0,1,1,0,4,0,1,1,2,1,52.3,8.4,39,0,0.0,0,0
5008812,1,0,1,0,283500.0,2,3,2,4,0,0,0,18,1,61.5,0.0,17,0,0.0,0,0
5008813,1,0,1,0,283500.0,2,3,2,4,0,0,0,18,1,61.5,0.0,17,0,0.0,0,0
5008814,1,0,1,0,283500.0,2,3,2,4,0,0,0,18,1,61.5,0.0,17,0,0.0,0,0
5008815,0,1,1,0,270000.0,0,3,1,4,1,1,1,6,2,46.2,2.1,6,0,0.0,0,0
5112956,0,1,1,0,270000.0,0,3,1,4,1,1,1,6,2,46.2,2.1,43,0,0.0,0,0
5008819,0,1,1,0,135000.0,1,1,1,4,0,0,0,0,2,48.7,3.3,8,0,0.0,0,0
5008820,0,1,1,0,135000.0,1,1,1,4,0,0,0,0,2,48.7,3.3,9,0,0.0,0,0
5008821,0,1,1,0,135000.0,1,1,1,4,0,0,0,0,2,48.7,3.3,9,0,0.0,0,0
5008822,0,1,1,0,135000.0,1,1,1,4,0,0,0,0,2,48.7,3.3,9,0,0.0,0,0
5008823,0,1,1,0,135000.0,1,1,1,4,0,0,0,0,2,48.7,3.3,5,0,0.0,0,0
5008824,0,1,1,0,135000.0,1,1,1,4,0,0,0,0,2,48.7,3.3,4,0,0.0,0,0
5008825,1,1,0,0,130500.0,0,2,1,4,0,0,0,6,2,29.2,3.0,26,1,0.038461538461538464,1,0
5008826,1,1,0,0,130500.0,0,2,1,4,0,0,0,6,2,29.2,3.0,30,1,0.23333333333333334,7,0
5008830,1,0,1,0,157500.0,0,1,1,4,0,1,0,0,2,27.5,4.0,32,1,0.0625,2,0
5008831,1,0,1,0,157500.0,0,1,1,4,0,1,0,0,2,27.5,4.0,20,1,0.1,2,0
5008832,1,0,1,0,157500.0,0,1,1,4,0,1,0,0,2,27.5,4.0,35,1,0.05714285714285714,2,0
5008834,1,0,1,1,112500.0,0,1,0,4,0,0,0,18,2,30.0,4.4,45,0,0.0,0,0
5008835,1,0,1,1,112500.0,0,1,0,4,0,0,0,18,2,30.0,4.4,17,0,0.0,0,0
5008836,0,1,1,3,270000.0,0,1,1,4,0,0,0,0,5,34.7,3.2,17,0,0.0,0,0
5008837,0,1,1,3,270000.0,0,1,1,4,0,0,0,0,5,34.7,3.2,17,0,0.0,0,0
5008838,0,0,1,1,405000.0,1,3,1,4,0,0,0,3,3,32.4,5.5,31,0,0.0,0,0
5008839,0,0,1,1,405000.0,1,3,1,4,0,0,0,3,3,32.4,5.5,14,0,0.0,0,0
5008840,0,0,1,1,405000.0,1,3,1,4,0,0,0,3,3,32.4,5.5,56,0,0.0,0,0
5008841,0,0,1,1,405000.0,1,3,1,4,0,0,0,3,3,32.4,5.5,5,0,0.0,0,0
5008842,0,0,1,1,405000.0,1,3,1,4,0,0,0,3,3,32.4,5.5,9,0,0.0,0,0
5008843,0,0,1,1,405000.0,1,3,1,4,0,0,0,3,3,32.4,5.5,30,0,0.0,0,0
5008844,0,1,1,0,112500.0,1,1,1,4,0,1,0,4,2,56.1,12.2,33,0,0.0,0,0
5008846,0,1,1,0,112500.0,1,1,1,4,0,1,0,4,2,56.1,12.2,12,0,0.0,0,0
